Run,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sorting,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,passage,Platform,ReleaseDate,sample_acc,Sample Name,source_name,SRA Study
SRR2977639,RNA-Seq,51,PRJNA305280,SAMN04322154,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467225,FACS sorted by TROP2+,GSM1964954,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1687,1021,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195138,GSM1964954,trophoblast-like cells differentiated from H1,SRP067036
SRR2977640,RNA-Seq,51,PRJNA305280,SAMN04322155,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467226,not sorted,GSM1964955,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,139,84,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195136,GSM1964955,H9 cells differentiated for 12 hours,SRP067036
SRR2977641,RNA-Seq,51,PRJNA305280,SAMN04322156,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467227,not sorted,GSM1964956,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,148,89,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195135,GSM1964956,H9 cells differentiated for 12 hours,SRP067036
SRR2977642,RNA-Seq,51,PRJNA305280,SAMN04322157,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467228,not sorted,GSM1964957,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,172,103,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195134,GSM1964957,H9 cells differentiated for 12 hours,SRP067036
SRR2977643,RNA-Seq,51,PRJNA305280,SAMN04322158,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467229,not sorted,GSM1964958,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,163,98,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195132,GSM1964958,H9 cells differentiated for 24 hours,SRP067036
SRR2977644,RNA-Seq,51,PRJNA305280,SAMN04322159,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467230,not sorted,GSM1964959,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,165,99,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195133,GSM1964959,H9 cells differentiated for 24 hours,SRP067036
SRR2977645,RNA-Seq,51,PRJNA305280,SAMN04322253,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467231,not sorted,GSM1964960,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,151,90,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195131,GSM1964960,H9 cells differentiated for 24 hours,SRP067036
SRR2977646,RNA-Seq,51,PRJNA305280,SAMN04322254,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467232,not sorted,GSM1964961,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,165,99,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195130,GSM1964961,H9 cells differentiated for 36 hours,SRP067036
SRR2977647,RNA-Seq,51,PRJNA305280,SAMN04322255,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467233,not sorted,GSM1964962,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,130,78,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195129,GSM1964962,H9 cells differentiated for 36 hours,SRP067036
SRR2977648,RNA-Seq,51,PRJNA305280,SAMN04322256,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467234,not sorted,GSM1964963,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,173,104,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195127,GSM1964963,H9 cells differentiated for 36 hours,SRP067036
SRR2977649,RNA-Seq,51,PRJNA305280,SAMN04322257,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467235,not sorted,GSM1964964,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,161,96,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195128,GSM1964964,H9 cells differentiated for 72 hours,SRP067036
SRR2977650,RNA-Seq,51,PRJNA305280,SAMN04322258,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467236,not sorted,GSM1964965,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,158,95,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195126,GSM1964965,H9 cells differentiated for 72 hours,SRP067036
SRR2977651,RNA-Seq,51,PRJNA305280,SAMN04322160,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467237,not sorted,GSM1964966,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,149,89,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195124,GSM1964966,H9 cells differentiated for 72 hours,SRP067036
SRR2977652,RNA-Seq,51,PRJNA305280,SAMN04322161,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467238,not sorted,GSM1964967,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,163,98,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195125,GSM1964967,H9 cells differentiated for 96 hours,SRP067036
SRR2977653,RNA-Seq,51,PRJNA305280,SAMN04322162,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467239,not sorted,GSM1964968,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,143,85,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195123,GSM1964968,H9 cells differentiated for 96 hours,SRP067036
SRR2977654,RNA-Seq,51,PRJNA305280,SAMN04322259,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467240,not sorted,GSM1964969,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,150,89,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195122,GSM1964969,H9 cells differentiated for 96 hours,SRP067036
SRR2977655,RNA-Seq,51,PRJNA305280,SAMN04322260,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467241,not sorted,GSM1964970,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,262,167,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195121,GSM1964970,undifferentiated human embryonic stem cells,SRP067036
SRR2977656,RNA-Seq,51,PRJNA305280,SAMN04322261,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467242,not sorted,GSM1964971,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,242,164,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195120,GSM1964971,undifferentiated human embryonic stem cells,SRP067036
SRR2977657,RNA-Seq,51,PRJNA305280,SAMN04322262,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467243,not sorted,GSM1964972,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,350,203,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195119,GSM1964972,undifferentiated human embryonic stem cells,SRP067036
SRR2977658,RNA-Seq,51,PRJNA305280,SAMN04322263,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467244,not sorted,GSM1964973,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,199,137,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195117,GSM1964973,undifferentiated human embryonic stem cells,SRP067036
SRR2977659,RNA-Seq,51,PRJNA305280,SAMN04322264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467245,not sorted,GSM1964975,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,298,179,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195118,GSM1964975,undifferentiated human embryonic stem cells,SRP067036
SRR2977660,RNA-Seq,51,PRJNA305280,SAMN04322265,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467246,not sorted,GSM1964977,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,286,193,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195116,GSM1964977,undifferentiated human embryonic stem cells,SRP067036
SRR2977661,RNA-Seq,51,PRJNA305280,SAMN04322266,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467247,not sorted,GSM1964978,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,287,190,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195115,GSM1964978,undifferentiated human embryonic stem cells,SRP067036
SRR2977662,RNA-Seq,51,PRJNA305280,SAMN04322267,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467248,not sorted,GSM1964979,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,295,181,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195114,GSM1964979,undifferentiated human embryonic stem cells,SRP067036
SRR2977663,RNA-Seq,51,PRJNA305280,SAMN04322268,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467249,not sorted,GSM1964980,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,373,221,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195113,GSM1964980,undifferentiated human embryonic stem cells,SRP067036
SRR2977664,RNA-Seq,51,PRJNA305280,SAMN04322269,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467250,not sorted,GSM1964981,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,275,179,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195112,GSM1964981,undifferentiated human embryonic stem cells,SRP067036
SRR2977665,RNA-Seq,51,PRJNA305280,SAMN04322270,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467251,not sorted,GSM1964982,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,310,192,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195109,GSM1964982,undifferentiated human embryonic stem cells,SRP067036
SRR2977666,RNA-Seq,51,PRJNA305280,SAMN04322271,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467252,not sorted,GSM1964983,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,399,262,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195111,GSM1964983,undifferentiated human embryonic stem cells,SRP067036
SRR2977667,RNA-Seq,51,PRJNA305280,SAMN04322272,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467253,not sorted,GSM1964984,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,430,248,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195110,GSM1964984,undifferentiated human embryonic stem cells,SRP067036
SRR2977668,RNA-Seq,51,PRJNA305280,SAMN04322273,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467254,not sorted,GSM1964985,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,446,256,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195108,GSM1964985,undifferentiated human embryonic stem cells,SRP067036
SRR2977669,RNA-Seq,51,PRJNA305280,SAMN04322274,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467255,not sorted,GSM1964986,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,410,235,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195107,GSM1964986,undifferentiated human embryonic stem cells,SRP067036
SRR2977670,RNA-Seq,51,PRJNA305280,SAMN04322275,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467256,not sorted,GSM1964987,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,331,190,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195106,GSM1964987,undifferentiated human embryonic stem cells,SRP067036
SRR2977671,RNA-Seq,51,PRJNA305280,SAMN04322276,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467257,not sorted,GSM1964988,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,383,219,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195105,GSM1964988,undifferentiated human embryonic stem cells,SRP067036
SRR2977672,RNA-Seq,51,PRJNA305280,SAMN04322277,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467258,not sorted,GSM1964989,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,500,295,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195104,GSM1964989,undifferentiated human embryonic stem cells,SRP067036
SRR2977673,RNA-Seq,51,PRJNA305280,SAMN04322278,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467259,not sorted,GSM1964990,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,618,365,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195103,GSM1964990,undifferentiated human embryonic stem cells,SRP067036
SRR2977674,RNA-Seq,51,PRJNA305280,SAMN04322279,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467260,not sorted,GSM1964991,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,412,263,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195102,GSM1964991,undifferentiated human embryonic stem cells,SRP067036
SRR2977675,RNA-Seq,51,PRJNA305280,SAMN04322280,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467261,not sorted,GSM1964992,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,759,444,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195100,GSM1964992,undifferentiated human embryonic stem cells,SRP067036
SRR2977676,RNA-Seq,51,PRJNA305280,SAMN04322281,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467262,not sorted,GSM1964993,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,475,311,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195099,GSM1964993,undifferentiated human embryonic stem cells,SRP067036
SRR2977677,RNA-Seq,51,PRJNA305280,SAMN04322282,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467263,not sorted,GSM1964994,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,428,275,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195098,GSM1964994,undifferentiated human embryonic stem cells,SRP067036
SRR2977678,RNA-Seq,51,PRJNA305280,SAMN04322223,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467264,not sorted,GSM1964995,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,751,448,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195097,GSM1964995,undifferentiated human embryonic stem cells,SRP067036
SRR2977679,RNA-Seq,51,PRJNA305280,SAMN04322224,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467265,not sorted,GSM1964996,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,490,280,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195096,GSM1964996,undifferentiated human embryonic stem cells,SRP067036
SRR2977680,RNA-Seq,51,PRJNA305280,SAMN04322225,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467266,not sorted,GSM1964997,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,356,213,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195094,GSM1964997,undifferentiated human embryonic stem cells,SRP067036
SRR2977681,RNA-Seq,51,PRJNA305280,SAMN04322226,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467267,not sorted,GSM1964998,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,508,288,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195095,GSM1964998,undifferentiated human embryonic stem cells,SRP067036
SRR2977682,RNA-Seq,51,PRJNA305280,SAMN04322227,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467268,not sorted,GSM1964999,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,304,175,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195093,GSM1964999,undifferentiated human embryonic stem cells,SRP067036
SRR2977683,RNA-Seq,51,PRJNA305280,SAMN04322228,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467269,not sorted,GSM1965000,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,417,243,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195092,GSM1965000,undifferentiated human embryonic stem cells,SRP067036
SRR2977684,RNA-Seq,51,PRJNA305280,SAMN04322229,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467270,not sorted,GSM1965001,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,450,258,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195090,GSM1965001,undifferentiated human embryonic stem cells,SRP067036
